Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-10-19,51.70027,51.79949,47.02016,50.00001,56298
2016-10-20,49.79949,50.00001,48.05996,50.00001,6598
2016-10-21,49.09975,50.00001,49.08011,49.94936,1220
2016-10-24,50.00001,53.00053,49.94006,52.44032,9121
2016-10-25,52.50027,52.50027,51.00053,52.19949,7637
2016-10-26,52.00001,52.00001,50.50027,50.50027,1474
2016-10-27,51.00053,51.00053,49.49975,50.99019,269
2016-10-28,50.10957,50.80001,50.10957,50.80001,199
2016-10-31,50.00001,51.99071,50.00001,51.98037,1481
2016-11-02,51.99071,52.00001,50.86099,51.89975,522
2016-11-03,51.89975,51.89975,50.85066,51.49975,472
2016-11-04,51.39949,51.39949,50.24911,51.00053,124
2016-11-07,51.00053,51.00053,50.50027,50.96952,426
2016-11-08,50.96952,50.96952,50.26978,50.60053,47
2016-11-09,50.90027,51.00053,50.29975,51.00053,645
2016-11-10,51.00053,51.00053,49.79949,50.70079,1003
2016-11-14,51.00053,51.00053,50.90027,50.90027,119
2016-11-15,50.88993,50.88993,49.79949,50.50027,1298
2016-11-16,50.50027,50.50027,49.00983,50.50027,365
2016-11-17,50.90027,50.90027,48.80001,48.80001,839
2016-11-18,49.00053,49.00053,47.02947,47.02947,1632
2016-11-21,46.90957,46.90957,45.1504,45.98967,1470
2016-11-22,45.1504,45.98967,45.1504,45.21965,1154
2016-11-23,45.21965,45.21965,44.89923,45.1504,636
2016-11-24,45.20001,45.20001,41.11009,44.50027,6845
2016-11-25,45.21965,47.00053,44.50027,46.99019,812
2016-11-28,46.99019,46.99019,46.8796,46.8796,223
2016-11-29,46.90027,48.70078,46.00001,48.49923,5493
2016-11-30,48.49923,50.50027,47.49975,50.00001,3059
2016-12-01,50.00001,50.00001,47.79949,50.00001,342
2016-12-02,50.00001,50.00001,48.40001,49.94006,337
2016-12-05,49.94936,49.94936,48.49923,48.54988,108
2016-12-06,49.9597,49.9597,48.29975,49.64962,788
2016-12-07,49.64962,49.64962,48.40931,49.58967,184
2016-12-08,48.40001,49.49975,48.40001,49.49975,576
2016-12-09,49.58967,49.58967,48.38037,49.48942,538
2016-12-12,49.48942,49.5504,48.38037,48.38037,745
2016-12-13,48.38037,49.98037,48.38037,49.48942,849
2016-12-14,49.70027,49.70027,49.00053,49.00053,89
2016-12-15,49.00053,49.00053,48.40001,49.00053,270
2016-12-16,49.00053,49.00053,47.3106,48.00001,710
2016-12-19,46.31009,48.79071,46.05996,48.40001,4503
2016-12-20,46.90027,48.49923,46.90027,47.98967,310
2016-12-21,47.98967,47.98967,46.10957,46.10957,1477
2016-12-22,47.48942,47.48942,46.02068,46.02068,54
2016-12-23,46.49097,46.49097,46.00001,46.25014,922
2016-12-27,46.29975,47.26926,45.64962,47.25996,1595
2016-12-28,47.00053,47.00053,45.64962,46.40001,651
2016-12-29,47.20001,49.00053,46.90027,48.49923,2492
2016-12-30,48.00001,49.64962,48.00001,49.64962,1826
2017-01-02,49.78089,49.78089,47.64962,49.48011,2376
2017-01-03,49.78089,49.78089,46.99019,46.99019,974
2017-01-04,47.98037,47.98037,47.00053,47.00053,77
2017-01-05,47.00053,47.8398,46.00001,46.00001,2463
2017-01-09,46.00001,46.49923,46.00001,46.02998,684
2017-01-10,46.02998,46.08063,45.40053,46.00001,2193
2017-01-11,46.00001,46.00001,45.41086,45.46978,906
2017-01-12,45.89975,45.89975,44.50027,45.30027,1094
2017-01-13,45.89975,45.89975,44.51991,45.00053,636
2017-01-16,44.51991,44.94058,44.00001,44.50957,899
2017-01-17,44.54988,44.54988,43.70027,43.74988,1796
2017-01-18,43.74988,43.89975,43.60001,43.89975,283
2017-01-19,44.00001,44.00001,42.99949,43.74988,1916
2017-01-20,43.98967,43.98967,42.99949,43.88941,406
2017-01-23,43.97934,43.97934,42.99949,43.88011,394
2017-01-24,44.04962,44.04962,42.99949,43.50078,557
2017-01-25,43.02016,43.50078,42.80001,43.09975,1414
2017-01-26,44.10027,44.48993,43.12972,44.48993,336
2017-01-27,44.48993,44.48993,43.30027,43.65996,500
2017-01-30,43.12972,44.80931,43.12972,44.80001,2447
2017-01-31,44.80001,48.90027,44.80001,47.05014,3228
2017-02-01,46.99019,47.98967,46.99019,47.9597,948
2017-02-02,48.00001,48.29975,47.60001,48.00001,1511
2017-02-03,48.00001,48.00001,47.49975,47.49975,165
2017-02-06,47.49975,47.98967,47.49975,47.98967,329
2017-02-07,47.98967,47.98967,47.40053,47.85014,744
2017-02-08,47.98967,47.98967,47.74988,47.94006,94
2017-02-09,47.94936,48.90027,47.40053,48.69045,765
2017-02-10,48.01035,48.70078,48.00001,48.00001,289
2017-02-13,48.01035,49.09975,48.00001,49.00053,1387
2017-02-14,49.34988,49.34988,48.19949,48.59949,485
2017-02-15,49.00053,49.22998,48.03929,49.22998,164
2017-02-16,49.22998,49.22998,48.10957,49.09045,192
2017-02-17,49.00053,49.00053,48.03929,48.11991,102
2017-02-20,49.18967,49.34988,49.00053,49.34988,1257
2017-02-21,49.34988,50.50027,48.49923,50.14988,8715
2017-02-22,50.14988,50.77004,49.49975,50.09923,1372
2017-02-23,50.50027,50.54058,49.79949,50.00001,597
2017-02-24,50.00001,50.00001,49.30027,50.00001,786
2017-02-27,51.1504,54.00001,51.1504,52.05996,7130
2017-02-28,52.56952,57.24962,51.94936,56.00001,21419
2017-03-01,57.49975,58.9995,56.60053,57.23929,20049
2017-03-02,58.00001,62.69975,58.00001,61.80053,29683
2017-03-03,63.50079,66.9995,62.00001,64.5995,15297
2017-03-06,64.80001,64.99019,62.5995,64.44963,17042
2017-03-07,61.80053,62.84963,57.20001,59.00983,12369
2017-03-08,58.94988,60.9995,56.10957,56.99949,5960
2017-03-09,58.00001,59.49975,56.50027,58.96022,4348
2017-03-10,59.89045,62.00001,58.22947,61.80053,4606
2017-03-13,62.69975,63.09975,62.01035,62.97056,7760
2017-03-14,62.69975,63.05014,61.80053,62.88063,1523
2017-03-15,62.69975,63.21965,61.50079,63.20001,3490
2017-03-16,63.21965,63.21965,62.54988,62.9995,3834
2017-03-17,62.50027,64.00001,62.50027,62.9995,4211
2017-03-20,63.88012,64.9995,63.60001,64.20053,10431
2017-03-21,64.48063,65.50079,64.29975,64.5995,4821
2017-03-22,64.89924,65.39019,62.9995,64.50027,2911
2017-03-23,65.09975,65.25066,63.50079,64.50027,2849
2017-03-24,64.9995,65.40053,62.80001,64.00001,2932
2017-03-27,64.00001,64.00001,61.51009,63.98968,1830
2017-03-28,64.00001,64.00001,60.50027,63.79019,2052
2017-03-29,63.70027,63.70027,60.52094,61.89045,1831
2017-03-30,61.89045,61.89045,60.06099,61.68993,610
2017-03-31,63.08012,63.08012,60.10027,61.17004,1559
2017-04-03,62.9995,62.9995,58.10027,58.9995,2322
2017-04-04,59.90079,59.98968,58.9995,59.9504,413
2017-04-05,59.49975,60.00001,58.51061,60.00001,634
2017-04-06,60.00931,60.98916,59.49975,60.88993,1068
2017-04-07,60.88063,60.88063,59.6796,60.00001,167
2017-04-10,60.00931,60.98916,58.10957,59.98968,2553
2017-04-11,58.50027,59.9597,56.90027,58.00001,3455
2017-04-12,57.49975,58.50027,57.49975,58.50027,594
2017-04-13,58.50027,58.50027,56.40001,57.49975,4580
2017-04-18,56.99949,57.90079,56.99949,57.90079,1124
2017-04-19,57.99071,57.99071,57.09975,57.69924,201
2017-04-20,57.99071,61.40983,57.99071,60.82999,10867
2017-04-21,60.82999,60.98089,59.64962,60.97055,1775
2017-04-24,60.97055,60.97055,60.05066,60.97055,1359
2017-04-25,60.50027,60.50027,59.14937,60.10027,717
2017-04-26,60.00001,60.00001,56.40001,57.39949,2885
2017-04-27,58.00001,59.98037,58.00001,59.60001,167
2017-04-28,59.60001,59.60001,58.50027,59.60001,817
2017-05-02,59.70027,59.70027,58.50027,59.34058,511
2017-05-04,59.40983,59.40983,56.99949,58.48993,2986
2017-05-05,58.48993,58.48993,56.99949,56.99949,1169
2017-05-08,56.99949,57.49975,56.69975,56.69975,171
2017-05-09,56.71009,56.71009,53.39949,55.48942,2930
2017-05-10,54.00001,57.39949,54.00001,56.50027,1331
2017-05-11,56.48993,56.50027,55.79949,56.50027,2126
2017-05-12,56.50027,56.50027,53.5597,56.48993,610
2017-05-15,55.99071,56.00001,53.65996,55.89975,692
2017-05-16,55.89975,55.89975,53.54936,53.54936,1132
2017-05-17,55.00053,55.00053,50.00001,52.00001,2809
2017-05-18,52.80001,53.00053,51.49975,51.49975,385
2017-05-19,51.49975,55.00053,51.45014,55.00053,455
2017-05-22,55.00053,55.00053,54.00001,55.00053,249
2017-05-23,55.00053,55.00053,54.05996,55.00053,532
2017-05-24,55.00053,55.00053,54.97986,54.97986,18
2017-05-25,55.00053,56.61913,54.00001,56.61913,1130
2017-05-26,56.80001,56.80001,54.80001,54.80001,184
2017-05-29,56.80001,57.20001,53.74988,57.20001,372
2017-05-30,57.18968,58.40001,54.65014,58.40001,2936
2017-05-31,58.40001,59.24962,56.99019,56.99019,1858
2017-06-01,56.99019,59.29924,56.99019,58.69975,1405
2017-06-02,58.98916,58.98916,57.74988,57.85014,187
2017-06-05,58.67081,59.80053,58.66048,58.9995,615
2017-06-06,59.86978,59.86978,58.00001,59.80053,910
2017-06-07,59.86978,59.86978,58.00001,59.60001,5237
2017-06-08,59.85014,59.85014,59.70027,59.70027,12
2017-06-09,59.86978,59.86978,59.85944,59.85944,2
2017-06-12,58.8703,58.98089,55.00983,57.90079,1023
2017-06-13,58.00001,60.00001,58.00001,58.98916,4882
2017-06-14,58.9995,60.5995,58.42999,60.40001,11515
2017-06-16,60.00001,60.88063,60.00001,60.50027,574
2017-06-19,60.10027,60.40001,60.00001,60.40001,1540
2017-06-20,60.9995,60.9995,57.49975,57.49975,6360
2017-06-21,58.00001,58.00001,57.49975,57.90079,1246
2017-06-22,58.9995,60.80001,58.51061,59.49975,6001
2017-06-23,60.00001,60.00001,58.9995,59.97004,377
2017-06-26,60.00001,60.00001,57.60001,59.98037,795
2017-06-27,59.98037,59.98037,58.9995,58.9995,105
2017-06-28,59.49975,60.00001,58.9995,59.20001,747
2017-06-29,59.49975,60.00001,58.9995,60.00001,383
2017-06-30,60.00001,60.9995,59.11009,60.97055,2510
2017-07-03,60.97055,62.00001,60.97055,61.76952,3697
2017-07-04,61.80053,61.98968,61.05014,61.6703,1268
2017-07-05,61.65066,61.65066,59.49975,59.49975,1384
2017-07-06,60.48993,60.48993,59.09975,59.89045,800
2017-07-07,59.90079,61.2703,59.90079,61.2703,253
2017-07-10,62.50027,62.50027,62.00001,62.00001,1479
2017-07-11,62.00001,62.37934,60.00001,60.10027,1444
2017-07-12,60.9995,60.9995,60.50027,60.50027,709
2017-07-13,60.9995,60.9995,60.00001,60.98916,177
2017-07-14,60.98916,60.9995,59.49975,60.88993,440
2017-07-17,60.90027,60.9995,59.54937,60.9995,980
2017-07-18,61.49045,61.49045,59.60001,60.00001,677
2017-07-19,60.9995,61.28993,60.00001,60.9995,1268
2017-07-20,61.09975,61.09975,60.9995,60.9995,408
2017-07-21,61.09975,61.29924,58.50027,60.00001,2052
2017-07-24,59.90079,59.90079,53.91009,56.60053,14705
2017-07-25,57.79949,59.89045,57.69924,58.88993,4693
2017-07-26,58.8703,59.39019,58.00001,58.9995,2074
2017-07-27,56.25014,59.80053,56.25014,59.80053,8306
2017-07-28,60.69975,60.69975,58.02999,59.98968,32899
2017-07-31,60.9995,61.50079,58.50027,60.98916,5953
2017-08-01,61.20001,61.20001,59.58037,60.50027,3206
2017-08-02,61.50079,61.50079,60.00001,60.94988,4892
2017-08-03,60.9995,60.9995,59.3995,60.19019,1444
2017-08-04,60.40001,60.40001,58.14988,59.9504,887
2017-08-07,59.94006,59.94006,58.02999,59.94006,2361
2017-08-08,59.89045,59.90079,58.67081,59.0305,5242
2017-08-09,59.82017,59.82017,56.00931,57.49975,4927
2017-08-10,59.49975,59.49975,56.54988,58.00001,978
2017-08-11,59.29924,59.29924,56.00001,58.00001,354
2017-08-14,58.9995,58.9995,56.99949,58.00001,1002
2017-08-16,58.00001,58.00001,56.00931,58.00001,1580
2017-08-17,57.99071,57.99071,56.10957,56.99949,280
2017-08-18,56.25014,56.60053,55.00053,56.10027,1372
2017-08-21,57.9504,59.86978,57.39949,58.48993,8930
2017-08-22,58.65014,59.49975,58.65014,59.49045,5989
2017-08-23,59.85014,59.9504,58.9995,59.49975,821
2017-08-24,59.49975,59.49975,59.02017,59.34988,4257
2017-08-25,59.49975,59.49975,59.20001,59.20001,4056
2017-08-28,60.00001,60.00001,58.9995,58.9995,7873
2017-08-29,59.97004,59.97004,58.9995,59.6796,10193
2017-08-30,59.49975,61.50079,59.3995,61.50079,7202
2017-08-31,62.00001,62.80001,60.9995,62.00001,26999
2017-09-01,62.00001,63.2703,62.00001,63.2703,11998
2017-09-04,62.99019,63.98968,62.99019,63.79019,6571
2017-09-05,63.79019,63.98968,63.29924,63.88012,4711
2017-09-06,63.80053,63.80053,63.29924,63.29924,9035
2017-09-07,63.50079,63.50079,60.10027,62.00001,6833
2017-09-08,62.00001,63.39019,62.00001,63.29924,647
2017-09-11,63.89975,66.25014,63.80053,66.25014,64098
2017-09-12,66.88994,68.80001,64.9995,68.1995,12564
2017-09-13,68.1995,69.00053,68.00001,68.80001,6089
2017-09-14,68.34937,68.34937,66.01035,68.0796,4306
2017-09-15,68.01035,68.01035,66.50027,67.49976,3768
2017-09-18,67.49976,72.70079,67.49976,71.49976,4739
2017-09-19,71.00053,72.48994,68.40001,69.60001,3807
2017-09-20,70.48063,70.48063,68.41035,68.41035,1663
2017-09-21,68.88994,69.00053,66.50957,67.97004,3811
2017-09-22,67.9504,67.9504,66.00001,67.30027,1162
2017-09-25,66.80001,66.80001,63.9504,64.04963,9638
2017-09-26,64.9995,64.9995,60.54988,63.49045,4561
2017-09-27,62.9995,66.89924,62.01035,65.85014,2644
2017-09-28,65.85014,66.50027,65.85014,66.29975,383
2017-09-29,66.9995,67.20001,65.50079,66.99019,2187
2017-10-02,66.9995,68.00001,64.01035,64.89924,3088
2017-10-03,64.9995,68.49924,64.9995,68.49924,28873
2017-10-04,69.20001,69.20001,67.25066,67.89976,1365
2017-10-05,67.60001,68.49097,65.50906,67.88942,576
2017-10-06,67.88942,68.29976,65.65066,67.9504,30397
2017-10-09,69.00053,69.00053,65.81087,65.81087,819
2017-10-10,66.9995,69.00053,65.09975,67.77056,1735
2017-10-11,67.77056,68.84032,66.89924,67.49045,216
2017-10-12,67.49045,67.98968,65.20001,67.98968,1052
2017-10-13,67.97934,67.97934,66.11061,66.9995,103
2017-10-16,67.98968,68.74937,64.20053,68.49924,3736
2017-10-17,69.00053,69.00053,67.20001,68.49097,2299
2017-10-18,68.49097,68.49924,65.5504,66.00001,4750
2017-10-19,66.99019,66.99019,65.50079,66.00001,762
2017-10-20,66.79071,66.79071,64.29975,65.76022,391
2017-10-23,64.93025,64.93025,61.80983,61.80983,4110
2017-10-24,63.08012,63.08012,58.21086,59.54937,3330
2017-10-25,59.75092,61.28063,57.49975,61.28063,5172
2017-10-26,61.28063,62.29975,61.20001,62.29975,1132
2017-10-27,62.99019,62.99019,62.00001,62.20053,253
2017-10-30,62.00001,63.28994,61.29924,62.29975,2287
2017-10-31,63.29924,65.20001,62.29975,63.98968,1095
2017-11-02,64.20053,64.20053,62.74937,62.74937,335
2017-11-03,62.7597,63.50079,62.7597,63.50079,1053
2017-11-06,63.50079,63.50079,62.01035,63.40053,1442
2017-11-07,62.9995,62.9995,61.60001,62.9995,15370
2017-11-08,61.60001,62.9995,61.60001,62.00001,789
2017-11-09,62.89924,62.89924,60.29975,61.45944,838
2017-11-10,60.00001,62.89924,60.00001,62.4796,1081
2017-11-13,62.00001,62.4796,61.05014,62.4796,286
2017-11-14,62.4796,62.4796,61.00983,61.50079,377
2017-11-15,61.00983,62.40001,61.00983,62.40001,404
2017-11-16,61.5504,62.5995,61.20001,62.5995,938
2017-11-17,62.9995,64.50027,62.65014,64.50027,1130
2017-11-20,64.9995,64.9995,62.9995,64.78968,1063
2017-11-21,64.78968,66.00001,64.00001,66.00001,1241
2017-11-22,66.02069,67.43981,64.9995,65.98968,792
2017-11-23,65.98968,66.97986,63.31991,66.97986,742
2017-11-24,67.30027,67.30027,66.50027,66.9995,492
2017-11-27,68.00001,68.00001,66.50027,66.9995,6176
2017-11-28,67.88942,67.88942,64.9995,66.40001,2068
2017-11-29,66.9995,66.9995,64.11061,65.20001,639
2017-11-30,65.20001,65.20001,62.00001,63.79019,2097
2017-12-01,64.89924,64.89924,62.80001,63.40053,170
2017-12-04,63.40053,64.99019,62.00001,63.50079,713
2017-12-05,63.40053,63.80053,62.89924,63.80053,78
2017-12-06,64.80001,64.80001,62.51991,63.70027,82
2017-12-07,63.70027,63.80053,62.9995,63.70027,228
2017-12-08,63.70027,63.80053,62.69975,63.80053,892
2017-12-11,63.50079,64.69975,63.50079,64.10027,274
2017-12-12,64.10027,64.10027,63.20932,64.00001,537
2017-12-13,64.00001,64.00001,62.00001,62.00001,1603
2017-12-14,62.9995,63.80053,62.10027,62.9995,792
2017-12-15,62.9995,62.9995,60.48993,60.48993,1548
2017-12-18,61.89045,61.89045,59.98968,60.9995,1246
2017-12-19,60.9995,63.50079,60.9995,62.9995,35198
2017-12-20,64.50027,64.50027,62.9995,62.9995,228
2017-12-21,62.9995,62.9995,62.84963,62.9995,30446
2017-12-22,62.50027,62.9995,62.01035,62.50027,2988
2017-12-27,62.9995,66.1995,62.9995,65.98968,28301
2017-12-28,66.84963,66.84963,64.9995,65.89975,1340
2017-12-29,65.00983,66.10027,64.50027,64.99019,2234
2018-01-03,64.40001,64.9995,63.20001,64.00001,538
2018-01-04,64.00001,64.00001,63.40053,64.00001,934
2018-01-05,64.9995,64.9995,64.40001,64.80001,77
2018-01-08,64.80001,67.40053,64.80001,65.80053,5021
2018-01-09,66.9995,67.60001,66.40001,67.60001,5118
2018-01-10,68.00001,69.00053,66.5995,68.00001,8334
2018-01-11,68.40001,68.5995,67.60001,67.60001,1431
2018-01-12,69.00053,69.60001,67.60001,68.5995,6601
2018-01-15,68.5995,69.60001,67.20001,67.40053,1981
2018-01-16,67.80053,68.80001,67.80053,68.80001,1240
2018-01-17,68.80001,68.80001,68.00001,68.1995,892
2018-01-18,68.80001,71.7995,68.80001,71.7995,16755
2018-01-19,72.00001,74.60053,72.00001,74.00001,8469
2018-01-22,74.60053,82.00002,74.60053,82.00002,20746
2018-01-23,85.20002,92.80002,84.9995,86.00002,28408
2018-01-24,86.00002,86.9995,80.9995,82.9995,10825
2018-01-25,82.9995,85.60002,82.9995,84.5995,2979
2018-01-26,84.5995,86.00002,84.5995,85.80053,1376
2018-01-29,86.00002,86.80002,84.00002,86.00002,3756
2018-01-30,86.00002,86.00002,84.40002,84.9995,984
2018-01-31,83.80053,84.9995,83.80053,84.9995,640
2018-02-01,84.00002,85.80053,78.60053,82.00002,1531
2018-02-02,81.80053,82.00002,80.00002,80.40002,2272
2018-02-05,80.00002,84.00002,75.7995,82.9995,5494
2018-02-06,78.00002,80.9995,76.00002,78.00002,8371
2018-02-07,79.60002,85.80053,79.60002,84.00002,6245
2018-02-08,85.60002,85.80053,83.80053,83.80053,4076
2018-02-09,82.40002,84.00002,80.9995,83.80053,2152
2018-02-12,83.80053,84.80002,83.80053,84.5995,1101
2018-02-13,84.9995,89.60002,84.9995,86.00002,9247
2018-02-14,86.5995,87.40053,86.00002,86.00002,3114
2018-02-15,86.40002,86.9995,83.80053,84.80002,2638
2018-02-16,84.9995,86.9995,84.00002,86.20053,3714
2018-02-19,85.60002,86.00002,83.20002,85.80053,393
2018-02-20,85.60002,88.5995,85.60002,88.00002,2144
2018-02-21,88.00002,88.80002,86.9995,88.00002,5102
2018-02-22,88.00002,88.80002,87.60002,88.40002,20556
2018-02-23,88.5995,93.20002,88.5995,92.00002,14492
2018-02-26,92.1995,93.00054,90.1995,91.00054,5142
2018-02-27,90.00002,91.00054,88.9995,88.9995,2261
2018-02-28,89.40053,90.80002,88.9995,90.1995,3719
2018-03-01,92.00002,92.00002,86.40002,88.9995,1417
2018-03-02,89.40053,89.40053,86.9995,86.9995,2123
2018-03-05,86.9995,88.9995,86.9995,87.80053,1603
2018-03-06,88.1995,90.80002,88.1995,88.9995,1811
2018-03-07,90.40002,91.60002,88.9995,91.20002,8111
2018-03-08,91.7995,91.7995,90.00002,91.60002,1992
2018-03-09,90.1995,93.7995,89.80053,93.00054,15284
2018-03-12,95.00054,97.60002,94.40002,94.40002,7941
2018-03-13,94.40002,96.00002,93.00054,95.60002,2733
2018-03-14,96.00002,99.60002,95.7995,99.60002,4331
2018-03-15,99.3995,102.00415,97.00054,102.00415,10413
2018-03-16,102.00415,102.50441,97.60002,99.00054,4550
2018-03-19,99.60002,100.50028,97.7995,100.00002,11715
2018-03-20,98.00002,99.60002,97.3995,97.60002,14020
2018-03-21,97.60002,98.80002,94.40002,97.7995,5538
2018-03-22,98.00002,98.60054,96.60054,98.00002,3093
2018-03-23,97.20002,98.80002,97.00054,98.60054,1173
2018-03-26,96.40002,98.1995,95.40054,95.40054,4443
2018-03-27,96.80002,97.20002,96.00002,96.00002,728
2018-03-28,96.00002,96.00002,91.60002,93.00054,4884
2018-03-29,96.00002,97.3995,92.40002,97.3995,3245
2018-04-03,97.60002,97.60002,95.60002,96.80002,507
2018-04-04,97.00054,97.00054,94.60054,95.20002,2453
2018-04-05,95.20002,97.00054,88.00002,90.40002,2468
2018-04-06,91.40054,100.50028,91.00054,100.00002,10417
2018-04-09,110.00519,117.49873,105.00261,109.49873,16546
2018-04-10,112.00002,116.99227,110.99744,114.99744,17025
2018-04-11,114.99744,117.49873,110.00519,111.5039,20548
2018-04-12,111.5039,111.5039,106.00519,109.49873,5078
2018-04-13,110.50131,112.00002,108.00002,108.00002,3259
2018-04-16,110.99744,110.99744,104.00002,106.00519,7763
2018-04-17,106.00519,106.99744,102.50441,104.00002,7167
2018-04-18,105.49873,105.49873,102.50441,104.00002,3324
2018-04-19,102.50441,105.00261,96.80002,98.60054,17182
2018-04-20,103.00777,105.00261,99.00054,100.00002,15830
2018-04-23,103.5039,104.00002,98.00002,99.3995,12315
2018-04-24,100.00002,100.9995,98.1995,98.40002,4162
2018-04-25,98.00002,99.60002,95.20002,98.40002,4709
2018-04-26,97.7995,104.50648,97.7995,100.00002,17075
2018-04-27,103.00777,103.00777,98.40002,99.20002,12695
2018-04-30,102.00415,107.5039,100.9995,105.00261,32345
2018-05-02,110.99744,113.99485,106.99744,108.00002,33565
2018-05-04,110.50131,112.49615,109.00261,111.5039,20363
2018-05-07,112.00002,116.00002,110.00519,110.99744,27324
2018-05-08,112.00002,113.49873,106.00519,110.00519,26735
2018-05-09,110.00519,113.00261,108.00002,112.49615,22378
2018-05-10,113.00261,128.49615,113.00261,128.00003,77977
2018-05-11,133.99486,150.99745,129.99486,149.00261,80404
2018-05-14,152.49615,163.50391,137.49874,146.50132,114441
2018-05-15,148.00003,148.00003,139.00778,144.49615,26003
2018-05-16,145.00261,172.99228,145.00261,169.00262,69968
2018-05-17,172.00003,172.99228,139.5039,142.0052,109790
2018-05-18,155.49357,156.00003,136.99228,146.0052,85090
2018-05-21,165.00262,169.99487,153.99486,159.50391,95400
2018-05-22,163.50391,172.00003,162.0052,172.00003,84939
2018-05-23,171.49357,184.00004,169.00262,178.0052,93874
2018-05-24,178.0052,181.00262,169.99487,177.00262,60120
2018-05-25,177.00262,181.00262,172.00003,175.00779,40491
2018-05-28,180.00004,182.99745,170.99745,172.99228,63063
2018-05-29,178.99745,179.50391,148.49615,150.99745,120810
2018-05-30,120.00002,136.00003,112.00002,116.99227,207092
2018-06-01,118.99744,118.99744,98.40002,110.00519,200670
2018-06-04,112.49615,135.49357,112.49615,134.99744,116360
2018-06-05,141.00261,145.00261,133.99486,141.00261,78232
2018-06-06,136.99228,141.00261,127.5039,134.99744,78430
2018-06-07,136.00003,137.49874,129.99486,133.49873,22650
2018-06-08,131.49357,133.00261,121.49873,123.00778,31093
2018-06-11,123.00778,128.00003,112.00002,126.99744,69080
2018-06-12,129.00261,131.49357,122.50132,124.00002,20394
2018-06-13,126.00519,126.00519,120.00002,122.00519,12039
2018-06-14,121.49873,136.49615,120.00002,134.99744,41829
2018-06-15,138.0052,138.0052,132.00003,132.00003,36975
2018-06-18,133.99486,136.00003,128.49615,129.99486,22321
2018-06-19,128.00003,128.00003,124.00002,126.00519,16032
2018-06-20,125.00261,128.00003,122.50132,128.00003,14563
2018-06-21,127.5039,129.49873,123.00778,124.50648,11568
2018-06-22,125.00261,125.00261,118.99744,121.49873,15258
